Experiment,Embeddedness,Cycle Length,Features,Pos Ratio,Accuracy,F1 Score,ROC AUC,Precision
baseline_bitcoin,Level 1,4,Unweighted,80%,0.714,0.764,0.757,0.651
baseline_bitcoin_verification,Level 1,4,Unweighted,80%,0.943,0.969,0.880,0.960
cycle_length_3_optimal,Level 1,3,Unweighted,80%,0.887,0.932,0.824,0.896
cycle_length_4_optimal,Level 1,4,Unweighted,80%,0.913,0.947,0.867,0.928
cycle_length_5_optimal,Level 1,5,Unweighted,80%,0.913,0.947,0.891,0.931
embed_0_optimal,Level 0,4,Unweighted,80%,0.913,0.947,0.867,0.928
embed_1_optimal,Level 1,4,Unweighted,80%,0.910,0.945,0.874,0.931
embed_2_optimal,Level 2,4,Unweighted,80%,0.917,0.949,0.876,0.935
experiment_1,Level 1,4,Weighted,80%,0.174,0.196,0.433,0.829
experiment_binary_optimized,Level 1,4,Unweighted,80%,0.913,0.951,0.789,0.941
experiment_epinions_aligned,Level 1,4,Unweighted,80%,0.893,0.943,0.682,0.943
experiment_epinions_balanced,Level 1,4,Unweighted,80%,0.830,0.899,0.846,0.857
experiment_epinions_bfs,Level 1,4,Unweighted,80%,0.837,0.907,0.770,0.842
experiment_epinions_optimal_balance,Level 1,4,Unweighted,80%,0.830,0.901,0.900,0.841
experiment_epinions_subset_v2,Level 1,4,Unweighted,80%,0.564,0.696,0.747,0.534
experiment_epinions_subset_v3,Level 1,4,Unweighted,80%,0.769,0.852,0.776,0.755
experiment_max,Level 1,4,Weighted,80%,0.907,0.948,0.768,0.937
experiment_optimal_optimal,Level 1,4,Unweighted,80%,0.875,0.932,0.884,0.885
experiment_stronger,Level 1,4,Weighted,80%,0.726,0.838,0.397,0.899
experiment_sum,Level 1,4,Weighted,80%,0.258,0.000,0.170,0.000
experiment_weighted_binned,Level 1,4,Weighted,80%,0.000,0.000,0.000,0.000
experiment_weighted_raw,Level 1,4,Weighted,80%,0.972,0.986,0.317,0.972
pos_ratio_50_50_optimal,Level 1,4,Unweighted,50%,0.917,0.949,0.876,0.935
pos_ratio_60_40_optimal,Level 1,4,Unweighted,60%,0.913,0.947,0.867,0.928
pos_ratio_70_30_optimal,Level 1,4,Unweighted,70%,0.913,0.947,0.874,0.935
pos_ratio_80_20_optimal,Level 1,4,Unweighted,80%,0.910,0.945,0.874,0.931
pos_ratio_90_10_optimal,Level 1,4,Unweighted,90%,0.913,0.947,0.867,0.928
test_5000,Level 1,4,Unweighted,80%,0.880,0.928,0.821,0.895
test_5000_2,Level 1,4,Unweighted,80%,0.880,0.928,0.821,0.895
test_5000_3,Level 1,4,Unweighted,80%,0.877,0.927,0.794,0.880
test_94_percent_accuracy,Level 1,4,Unweighted,80%,0.903,0.942,0.853,0.911
test_94_percent_retry_1,Level 1,4,Unweighted,80%,0.903,0.942,0.853,0.911
test_94_percent_retry_2,Level 1,4,Unweighted,80%,0.880,0.928,0.821,0.895
test_experiment,Level 1,4,Unweighted,80%,0.875,0.932,0.884,0.885
unweighted_optimal,Level 1,4,Unweighted,80%,0.917,0.949,0.876,0.935
weighted_optimal,Level 1,4,Weighted,80%,0.913,0.947,0.867,0.928
